faculty,title,journal,status
Dr. Pooja Verma,NLP for Chatbots,IEEE Transactions,rejected
Dr. Rohit Sharma,Object Detection using YOLO,IEEE Transactions,rejected
Dr. Arun Kumar,Human Computer Interaction Trends,Elsevier Journal,accepted
Dr. Kavya Nair,Edge Computing in IoT,IEEE Access,published
Dr. Divya Rani,Multi-cloud Architecture,ACM Transactions,rejected
Dr. Ravi Teja,NLP for Chatbots,IEEE Transactions,accepted
Dr. Lakshmi Priya,Multi-cloud Architecture,IEEE Access,published
Dr. Sanjay Patel,Cryptocurrency Trends Analysis,Springer Journal,published
Dr. Rajesh Singh,Wireless Sensor Networks Optimization,Springer Journal,published
Dr. Pooja Verma,Edge Computing in IoT,Elsevier Journal,published
Dr. Arun Kumar,Cloud Computing Security,IEEE Transactions,published
Dr. Kavya Nair,Wireless Sensor Networks Optimization,Elsevier Journal,rejected
Dr. Sita Devi,Object Detection using YOLO,ACM Transactions,published
Dr. Lakshmi Priya,Computer Vision in Autonomous Vehicles,Springer Journal,rejected
Dr. Anjali Sharma,Edge Computing in IoT,Elsevier Journal,rejected
Dr. Kavya Nair,Sentiment Analysis using BERT,Elsevier Journal,published
Dr. Sanjay Patel,Deep Learning for Medical Imaging,Springer Journal,published
Dr. Anjali Sharma,Big Data Analytics in Healthcare,Elsevier Journal,rejected
Dr. Naveen Kumar,Wireless Sensor Networks Optimization,IEEE Access,published
Dr. Meena Gupta,Agile vs Waterfall Study,IEEE Access,rejected
Dr. Naveen Kumar,Reinforcement Learning Applications,IEEE Transactions,accepted
Dr. Rajesh Singh,UX Design Principles,ACM Transactions,accepted
Dr. Kavya Nair,Computer Vision in Autonomous Vehicles,IEEE Transactions,rejected
Dr. Ravi Teja,Energy Efficient Routing Protocols,IEEE Access,rejected
Dr. Naveen Kumar,UX Design Principles,Springer Journal,accepted
Dr. Pooja Verma,Bioinformatics using AI,Springer Journal,published
Dr. Anjali Sharma,Ethical Hacking Techniques,Springer Journal,accepted
Dr. Sanjay Patel,Cryptocurrency Trends Analysis,IEEE Transactions,published
Dr. Rajesh Singh,AI in Cancer Detection,Elsevier Journal,published
Dr. Kiran Reddy,Energy Efficient Routing Protocols,ACM Transactions,accepted
Dr. Ramesh Kumar,Object Detection using YOLO,IEEE Transactions,rejected
Dr. Arun Kumar,Cloud Computing Security,Springer Journal,accepted
Dr. Pooja Verma,Energy Efficient Routing Protocols,ACM Transactions,rejected
Dr. Anjali Sharma,Clustering Algorithms Comparison,Springer Journal,accepted
Dr. Kiran Reddy,UX Design Principles,Elsevier Journal,accepted
Dr. Rohit Sharma,NLP for Chatbots,Springer Journal,rejected
Dr. Meena Gupta,Precision Farming using AI,Elsevier Journal,accepted
Dr. Ramesh Kumar,NLP for Chatbots,ACM Transactions,rejected
Dr. Pooja Verma,Gene Prediction Models,IEEE Access,published
Dr. Naveen Kumar,Deep Learning for Medical Imaging,IEEE Access,rejected
Dr. Sanjay Patel,Clustering Algorithms Comparison,ACM Transactions,accepted
Dr. Meena Gupta,Ethical Hacking Techniques,Elsevier Journal,rejected
